laptop_id,name,price(in Rs.),processor,ram,os,storage,display(in inch),rating,no_of_ratings,no_of_reviews,usage,range,ram_id,storage_id
119,Lenovo IdeaPad Core i5 11th Gen,78990.0,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.4,41.0,3.0,1,2,16,512
120,DELL Core i5 11th Gen,63990.0,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.1,187.0,16.0,1,2,8,512
122,ASUS TUF Dash F15 (2022) Core i5 12th Gen,76999.0,Intel Core i5 Processor (12th Gen),8 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,15.6,4.5,97.0,10.0,1,2,8,512
123,Lenovo Intel Core i5 11th Gen,62990.0,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,15.6,4.5,14.0,1.0,1,2,16,512
124,ASUS Vivobook 15 OLED (2022) Core i5 12th Gen,68990.0,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.6,11.0,1.0,1,2,16,512
125,acer Aspire 7 Core i5 12th Gen,57990.0,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.3,3065.0,354.0,1,2,8,512
126,ASUS TUF Dash F15 Core i7 12th Gen,95990.0,Intel Core i7 Processor (12th Gen),16 GB DDR5 RAM,64 bit Windows 11 Operating System,1000 GB SSD,15.6,4.5,136.0,16.0,1,2,16,1000
127,Lenovo V15 G2 Core i3 11th Gen,37500.0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,1000 GB HDD|256 GB SSD,15.6,4.4,53.0,3.0,1,2,8,1000
128,Lenovo IdeaPad 3 Core i5 11th Gen,52990.0,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.2,280.0,21.0,1,2,8,512
132,Lenovo IdeaPad Core i5 11th Gen,78990.0,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.4,41.0,3.0,1,2,16,512
133,realme Book(Slim) Intel Evo Core i5 11th Gen,59990.0,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,14.0,4.4,7200.0,967.0,1,2,8,512
134,HP 14s Intel Core i5 12th Gen,61400.0,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,14.0,4.2,1346.0,124.0,1,2,16,512
135,Infinix X1 Slim Series Core i5 10th Gen,37990.0,Intel Core i5 Processor (10th Gen),8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,512 GB SSD,14.0,4.2,713.0,103.0,1,2,8,512
136,HP Pavilion Intel Core i5 12th Gen,77070.0,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,14.0,4.4,27.0,3.0,1,2,16,512
137,ASUS Vivobook 14 (2022) Core i5 12th Gen,56990.0,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,14.0,4.3,18.0,1.0,1,2,8,512
138,acer Aspire 7 Ryzen 5 Hexa Core 5500U,56990.0,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.4,5533.0,674.0,2,2,16,512
139,DELL Inspiron Core i3 11th Gen,42490.0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,1000 GB HDD|256 GB SSD,15.6,4.2,440.0,40.0,1,2,8,1000
140,acer Predator Helios 300 Core i7 11th Gen,95990.0,Intel Core i7 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,1000 GB HDD|512 GB SSD,15.6,4.5,473.0,71.0,1,2,16,1000
141,DELL Inspiron Core i3 11th Gen,44290.0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,3.1,15.0,3.0,1,2,8,512
142,HP Pavilion Ryzen 5 Hexa Core 5625U,63550.0,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,14.0,4.4,218.0,19.0,2,2,16,512
143,MSI Core i9 12th Gen,119990.0,Intel Core i9 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,1000 GB SSD,15.6,4.4,29.0,8.0,1,1,16,1000
144,APPLE MacBook Air M1,129990.0,Apple M1 Processor,16 GB DDR4 RAM,Mac OS Operating System,512 GB SSD,13.3,4.7,719.0,83.0,3,3,16,512
145,ASUS ROG Zephyrus G15 (2022) with 90Whr Battery Ryzen 9 Octa Core 6900HS,161990.0,AMD Ryzen 9 Octa Core Processor,16 GB DDR5 RAM,64 bit Windows 11 Operating System,1000 GB SSD,15.6,3.8,5.0,1.0,2,1,16,1000
146,Infinix INBook X2 Plus Core i5 11th Gen,47990.0,Intel Core i5 Processor (11th Gen),16 GB LPDDR4X RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.5,6.0,1.0,1,2,16,512
147,Lenovo Intel Core i3 11th Gen,38500.0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.3,453.0,38.0,1,2,8,512
148,DELL G15 Ryzen 5 Hexa Core 5600H,73990.0,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,15.6,4.5,52.0,9.0,2,2,16,512
149,APPLE 2021 Macbook Pro M1 Max,307990.0,Apple M1 Max Processor,32 GB Unified Memory RAM,Mac OS Operating System,1000 GB SSD,16.2,4.3,13.0,5.0,3,1,32,1000
150,ASUS Touchscreen Core i3 12th Gen,45990.0,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,15.6,3.9,16.0,0.0,1,3,8,512
151,Lenovo Intel Core i5 11th Gen,52890.0,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,15.6,4.5,14.0,1.0,1,2,16,512
152,Lenovo Celeron Dual Core,27990.0,Intel Celeron Dual Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,15.6,4.0,108.0,11.0,4,3,8,256
153,MSI Core i5 11th Gen,62050.0,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,15.6,4.4,2547.0,319.0,1,2,8,512
154,Infinix INBook X2 Plus Core i7 11th Gen,52990.0,Intel Core i7 Processor (11th Gen),16 GB LPDDR4X RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.3,26.0,6.0,1,2,16,512
155,Lenovo IdeaPad 3 Core i3 11th Gen,38699.0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.3,4658.0,449.0,1,2,8,512
156,DELL Inspiron Core i3 11th Gen,44290.0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,3.1,15.0,3.0,1,2,8,512
157,acer Aspire 7 Core i5 12th Gen,57990.0,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.3,3065.0,354.0,1,2,8,512
158,ASUS Vivobook Pro 15 OLED Ryzen 7 Octa Core AMD R7,65990.0,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.5,715.0,112.0,2,3,16,512
159,Lenovo IdeaPad 3 Core i5 11th Gen,52990.0,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.2,280.0,21.0,1,2,8,512
161,ASUS Vivobook 14 (2022) Core i5 12th Gen,56990.0,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,14.0,4.5,18.0,1.0,1,2,8,512
162,DELL Inspiron Ryzen 3 Dual Core 3250U,41190.0,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.3,78.0,3.0,2,3,8,512
163,Lenovo IdeaPad 3 Core i5 12th Gen,56049.0,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.2,247.0,21.0,1,2,8,512
164,DELL Core i5 12th Gen,57990.0,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,3.9,30.0,2.0,1,2,8,512
165,HP Victus Intel Core i7 12th Gen,85990.0,Intel Core i7 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.3,61.0,7.0,1,2,8,512
166,Lenovo IdeaPad Core i5 11th Gen,55990.0,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,15.6,4.3,2648.0,228.0,1,2,8,512
167,Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,47039.0,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.3,1603.0,184.0,2,2,8,512
168,ASUS VivoBook Flip 14 Core i3 11th Gen,44990.0,Intel Core i3 Processor (11th Gen),8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,256 GB SSD,14.0,4.4,144.0,13.0,1,2,8,256
169,DELL Inspiron Pentium Silver,32000.0,Intel Pentium Silver Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,15.6,4.1,329.0,32.0,4,3,8,256
170,ASUS Zenbook 14 OLED (2022) Intel EVO Core i5 12th Gen,89990.0,Intel Core i5 Processor (12th Gen),16 GB LPDDR5 RAM,Windows 11 Operating System,512 GB SSD,14.0,4.0,24.0,5.0,1,2,16,512
171,Lenovo Intel Core i3 11th Gen,38500.0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.3,453.0,38.0,1,2,8,512
172,HP Pavilion Intel Core i7 12th Gen,88900.0,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,1000 GB SSD,15.6,4.0,24.0,2.0,1,2,16,1000
173,ASUS Vivobook 15 Touch Core i3 11th Gen,41990.0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.3,348.0,47.0,1,2,8,512
175,Lenovo Intel Core i5 11th Gen,52890.0,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,15.6,4.5,14.0,1.0,1,2,16,512
176,ASUS Vivobook Ultra 14 (2022) Core i3 11th Gen,44490.0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,14.0,4.3,222.0,28.0,1,2,8,512
177,Lenovo IdeaPad Ryzen 5 Hexa Core 5500U,47990.0,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.6,8.0,0.0,2,2,8,512
178,SAMSUNG Core i7 12th Gen,72990.0,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,15.6,4.2,6.0,0.0,1,2,16,512
179,Lenovo IdeaPad 3 Core i3 11th Gen,38699.0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.3,4658.0,449.0,1,2,8,512
180,ASUS VivoBook Flip 14 Core i3 11th Gen,44990.0,Intel Core i3 Processor (11th Gen),8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,256 GB SSD,14.0,4.4,144.0,13.0,1,2,8,256
181,ASUS TUF Gaming F15 Core i5 10th Gen,65990.0,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,1000 GB SSD,15.6,4.5,121.0,7.0,1,2,8,1000
182,realme Book(Slim) Intel Evo Core i5 11th Gen,59990.0,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,14.0,4.4,7200.0,967.0,1,2,8,512
183,Lenovo IdeaPad 3 Core i5 11th Gen,52990.0,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.2,280.0,21.0,1,2,8,512
184,ASUS VivoBook K15 OLED Ryzen 5 Hexa Core AMD R5,56990.0,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.5,758.0,80.0,2,2,16,512
185,HP G8 Core i3 11th Gen,34690.0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,32 bit Windows 11 Operating System,512 GB SSD,14.0,4.0,66.0,2.0,1,2,8,512
186,APPLE 2021 Macbook Pro M1 Pro,213894.0,Apple M1 Pro Processor,16 GB Unified Memory RAM,Mac OS Operating System,1000 GB SSD,14.2,4.8,119.0,14.0,3,1,16,1000
187,Lenovo IdeaPad 3 Core i5 12th Gen,56049.0,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.2,247.0,21.0,1,2,8,512
188,ASUS Vivobook 15 Core i3 10th Gen,35990.0,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.1,193.0,17.0,1,2,8,512
189,HP Ryzen 5 Hexa Core 5500U,50499.0,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,14.0,4.2,225.0,18.0,2,2,16,512
