laptop_id,name,price(in Rs.),processor,ram,os,storage,display(in inch),rating,no_of_ratings,no_of_reviews,usage,range,ram_id,storage_id
220,DELL G15 Core i5 12th Gen,79990.0,Intel Core i5 Processor (12th Gen),8 GB DDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.1,35.0,5.0,1,2,8,512
222,DELL Core i5 11th Gen,72990.0,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.1,187.0,16.0,1,2,16,512
223,Lenovo Intel Core i5 11th Gen,52890.0,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,15.6,4.5,14.0,1.0,1,2,16,512
224,HP Pavilion Ryzen 5 Hexa Core 5625U,63550.0,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,14.0,4.4,218.0,19.0,2,2,16,512
225,DELL Core i5 12th Gen,76519.0,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,14.0,4.5,4.0,1.0,1,2,8,512
226,ASUS Vivobook 15 Ryzen 3 Dual Core AMD R3,34990.0,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,15.6,4.4,405.0,48.0,2,3,8,512
227,Lenovo IdeaPad 3 Core i3 11th Gen,38699.0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.3,4658.0,449.0,1,2,8,512
228,DELL Inspiron Ryzen 3 Dual Core 3250U,38029.0,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,15.6,4.2,435.0,56.0,2,3,8,256
229,APPLE MacBook Air M1,104990.0,Apple M1 Processor,8 GB DDR4 RAM,Mac OS Operating System,512 GB SSD,13.3,4.7,8865.0,795.0,3,3,8,512
230,HP Chromebook x360 Intel Celeron Dual Core,25990.0,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,64 bit Chrome Operating System,512 GB SSD,14.0,4.2,24.0,4.0,4,3,4,512
231,Lenovo IdeaPad 3 Core i5 11th Gen,52990.0,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.2,280.0,21.0,1,2,8,512
232,ASUS Pentium Quad Core,23990.0,Intel Pentium Quad Core Processor,4 GB DDR4 RAM,64 bit Windows 10 Operating System,1000 GB HDD,15.6,3.7,3191.0,410.0,4,3,4,1000
233,acer Extensa Core i3 11th Gen,31990.0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,15.6,4.4,385.0,34.0,1,2,8,256
234,DELL Inspiron Core i5 11th Gen,49890.0,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.2,17.0,3.0,1,2,16,512
235,Lenovo IdeaPad 3 Core i5 12th Gen,56049.0,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.2,247.0,21.0,1,2,8,512
236,ASUS Vivobook Flip 14 (2022) Touch Panel Core i5 12th Gen,74990.0,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,14.0,4.2,10.0,1.0,1,2,8,512
237,DELL Inspiron Core i5 11th Gen,60290.0,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.3,43.0,4.0,1,2,8,512
238,APPLE MacBook Air M1,126990.0,Apple M1 Processor,16 GB DDR4 RAM,Mac OS Operating System,512 GB SSD,13.3,4.7,719.0,83.0,3,3,16,512
239,Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,47039.0,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.3,1603.0,184.0,2,2,8,512
240,ASUS TUF Gaming F15 Core i5 10th Gen,60990.0,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.5,5145.0,564.0,1,2,8,512
242,Lenovo Intel Core i5 11th Gen,64990.0,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,1000 GB HDD|256 GB SSD,15.6,4.4,395.0,43.0,1,2,8,1000
243,Lenovo Intel Core i3 11th Gen,38500.0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.3,453.0,38.0,1,2,8,512
244,DELL Ryzen 3 Quad Core 5425U,41490.0,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,14.0,4.4,43.0,3.0,2,3,8,512
245,ASUS TUF Dash F15 Core i5 12th Gen,77990.0,Intel Core i5 Processor (12th Gen),16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,15.6,4.5,97.0,10.0,1,2,16,512
246,ASUS TUF Gaming F15 (2022) Core i7 12th Gen,94500.0,Intel Core i7 Processor (12th Gen),16 GB DDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.4,41.0,6.0,1,2,16,512
247,Lenovo Intel Core i5 11th Gen,52890.0,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,15.6,4.5,14.0,1.0,1,2,16,512
248,ASUS ROG Strix G15 Advantage Edition Ryzen 9 Octa Core AMD R9,154990.0,AMD Ryzen 9 Octa Core Processor,16 GB DDR4 RAM,Windows 10 Operating System,1000 GB SSD,15.6,4.6,265.0,56.0,2,1,16,1000
251,Lenovo IdeaPad 3 Core i3 11th Gen,38699.0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.3,4658.0,449.0,1,2,8,512
252,HP Pavilion Intel Core i5 12th Gen,74990.0,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.0,90.0,11.0,1,2,16,512
253,ASUS TUF Gaming A15 Ryzen 5 Hexa Core AMD R5,65990.0,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,1000 GB SSD,15.6,4.5,258.0,29.0,2,2,8,1000
254,ASUS Pentium Quad Core,23990.0,Intel Pentium Quad Core Processor,4 GB DDR4 RAM,64 bit Windows 10 Operating System,1000 GB HDD,15.6,3.7,3191.0,410.0,4,3,4,1000
255,Lenovo IdeaPad 3 Core i5 11th Gen,52990.0,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.2,280.0,21.0,1,2,8,512
256,APPLE 2020 Macbook Pro M1,114990.0,Apple M1 Processor,8 GB DDR4 RAM,Mac OS Operating System,256 GB SSD,13.3,4.7,784.0,87.0,3,3,8,256
257,acer Nitro 5 Ryzen 5 Hexa Core 5600H,63990.0,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,15.6,4.5,313.0,31.0,2,2,16,512
258,MSI Katana GF66 Core i5 12th Gen,80990.0,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.6,21.0,3.0,1,2,16,512
259,Lenovo IdeaPad 3 Core i5 12th Gen,56049.0,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.2,247.0,21.0,1,2,8,512
261,HP 15s Intel Core i3 11th Gen,39490.0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,15.6,4.4,80.0,11.0,1,2,8,256
262,ASUS ROG Strix SCAR 15 (2022) Core i9 12th Gen,281990.0,Intel Core i9 Processor (12th Gen),32 GB DDR5 RAM,64 bit Windows 11 Operating System,1000 GB SSD,15.6,5.0,4.0,0.0,1,1,32,1000
263,Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,47039.0,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.3,1603.0,184.0,2,2,8,512
264,Lenovo IdeaPad 3 Core i3 10th Gen,31561.0,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,Windows 11 Operating System,256 GB SSD,14.0,3.9,13.0,0.0,1,2,4,256
265,ASUS Vivobook 14 Core i5 10th Gen,48990.0,Intel Core i5 Processor (10th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,14.0,3.7,13.0,3.0,1,2,16,512
267,Lenovo Intel Core i5 11th Gen,62990.0,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,15.6,4.5,14.0,1.0,1,2,16,512
269,HP Pavilion Gaming Ryzen 5 Quad Core 3550H,54990.0,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,1000 GB HDD,15.6,4.2,15492.0,2054.0,2,3,8,1000
270,APPLE 2021 Macbook Pro M1 Pro,243990.0,Apple M1 Pro Processor,16 GB Unified Memory RAM,Mac OS Operating System,1000 GB SSD,16.2,4.8,119.0,14.0,3,1,16,1000
271,Lenovo V15 G2 Core i3 11th Gen,37500.0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,1000 GB HDD|256 GB SSD,15.6,4.4,53.0,3.0,1,2,8,1000
272,DELL Inspiron Ryzen 3 Dual Core 3250U,41890.0,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.2,26.0,2.0,2,3,8,512
274,ASUS VivoBook K15 OLED (2022) Core i3 11th Gen,42990.0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,15.6,4.4,1443.0,248.0,1,2,8,256
276,MSI Crosshair 15 Core i7 12th Gen,104990.0,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.6,14.0,1.0,1,2,16,512
277,Lenovo Legion 5 Core i7 10th Gen,86490.0,Intel Core i7 Processor (10th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,15.6,4.5,148.0,19.0,1,2,16,512
278,MSI Delta 15 AMD Advantage Edition Ryzen 9 Octa Core 5900HX 5th Gen,129990.0,AMD Ryzen 9 Octa Core Processor (5th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,1000 GB SSD,15.6,4.8,41.0,8.0,2,1,16,1000
279,DELL Core i5 11th Gen,52890.0,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,15.6,3.8,5.0,1.0,1,2,8,512
282,ASUS ROG Strix G15 with 90Whr Battery Ryzen 7 Octa Core 5800H,146990.0,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,1000 GB SSD,15.6,5.0,6.0,0.0,2,3,16,1000
284,HP OMEN Ryzen 5 Hexa Core AMD R5,77990.0,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,16.1,4.8,4.0,0.0,2,2,8,512
285,Lenovo Ryzen 3 Dual Core 3250U,31490.0,AMD Ryzen 3 Dual Core Processor,4 GB DDR4 RAM,64 bit Windows 10 Operating System,1000 GB HDD,15.6,3.6,84.0,16.0,2,3,4,1000
287,acer Swift 3 Ryzen 5 Hexa Core 5500U,61500.0,AMD Ryzen 5 Hexa Core Processor,8 GB LPDDR4X RAM,64 bit Windows 10 Operating System,512 GB SSD,14.0,4.5,29.0,6.0,2,2,8,512
291,Lenovo Intel Core i5 11th Gen,62990.0,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,15.6,4.5,14.0,1.0,1,2,16,512
292,ASUS ROG Strix Scar 15 (2022) Core i9 12th Gen,228928.0,Intel Core i9 Processor (12th Gen),32 GB DDR5 RAM,64 bit Windows 11 Operating System,1000 GB SSD,15.6,4.6,10.0,0.0,1,1,32,1000
293,ALIENWARE Core i9 10th Gen,345390.0,Intel Core i9 Processor (10th Gen),32 GB DDR4 RAM,64 bit Windows 10 Operating System,1000 GB SSD,15.6,4.6,10.0,3.0,4,3,32,1000
294,DELL Inspiron 7000 Core i5 10th Gen,62990.0,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,14.0,3.8,17.0,3.0,1,2,8,512
295,Lenovo V15 G2 Core i3 11th Gen,37500.0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,1000 GB HDD|256 GB SSD,15.6,4.4,53.0,3.0,1,2,8,1000
300,acer Nitro 5 Ryzen 5 Hexa Core 5600H,75990.0,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,Windows 11 Operating System,1000 GB HDD|512 GB SSD,15.6,4.3,222.0,25.0,2,2,16,1000
301,Lenovo Legion 5 Pro Ryzen 7 Octa Core 5800H,129989.0,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,1000 GB SSD,16.0,4.7,32.0,5.0,2,3,16,1000
302,APPLE 2022 MacBook AIR M2,139990.0,Apple M2 Processor,8 GB Unified Memory RAM,Mac OS Operating System,512 GB SSD,13.6,5.0,8.0,2.0,3,3,8,512
303,HP Pavilion Intel Core i5 11th Gen,68990.0,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,14.0,4.4,288.0,23.0,1,2,16,512
305,Lenovo IdeaPad 3 Core i5 12th Gen,62490.0,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.1,87.0,11.0,1,2,16,512
306,APPLE 2020 Macbook Air M1,109990.0,Apple M1 Processor,8 GB DDR4 RAM,Mac OS Operating System,512 GB SSD,13.3,4.6,1149.0,126.0,3,3,8,512
307,SAMSUNG Galaxy Book2 Core i5 12th Gen,61990.0,Intel Core i5 Processor (12th Gen),8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,256 GB SSD,15.6,4.6,82.0,13.0,1,2,8,256
308,DELL Inspiron Core i5 11th Gen,60990.0,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,1000 GB HDD|256 GB SSD,15.6,4.1,31.0,2.0,1,2,8,1000
310,HP OMEN Ryzen 7 Octa Core AMD R7,110000.0,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,1000 GB SSD,16.1,3.8,5.0,1.0,2,3,16,1000
311,ASUS ROG Strix G15 Ryzen 7 Octa Core AMD R7,76990.0,AMD Ryzen 7 Octa Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,15.6,4.5,193.0,18.0,2,3,8,512
312,Infinix INBook X2 Plus Core i3 11th Gen,33990.0,Intel Core i3 Processor (11th Gen),8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.2,197.0,43.0,1,2,8,512
313,acer Extensa Core i3 11th Gen,31990.0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,15.6,4.4,385.0,34.0,1,2,8,256
315,Lenovo Intel Core i5 11th Gen,62990.0,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,15.6,4.5,14.0,1.0,1,2,16,512
316,APPLE MacBook Air M1,109990.0,Apple M1 Processor,8 GB DDR4 RAM,Mac OS Operating System,512 GB SSD,13.3,4.7,8865.0,795.0,3,3,8,512
317,ASUS ROG Zephyrus G15 (2020) Ryzen 9 Octa Core 4900HS,129990.0,AMD Ryzen 9 Octa Core Processor,16 GB DDR4 RAM,64 bit Windows 10 Operating System,1000 GB SSD,15.6,4.4,193.0,39.0,2,1,16,1000
318,Infinix ZERO BOOK Series Laptop Intel Core i5 12th Gen,51532.0,Intel Core i5 Processor (12th Gen),16 GB LPDDR5 RAM,Windows 11 Operating System,512 GB SSD,15.6,4.0,32.0,14.0,1,2,16,512
319,Lenovo V15 G2 Core i3 11th Gen,37500.0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,1000 GB HDD|256 GB SSD,15.6,4.4,53.0,3.0,1,2,8,1000
320,MSI Pulse GL66 Core i7 11th Gen,144100.0,Intel Core i7 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,1000 GB SSD,15.6,4.4,136.0,23.0,1,2,16,1000
322,Infinix INBook X1 Neo Series Celeron Quad Core,20990.0,Intel Celeron Quad Core Processor,4 GB LPDDR4X RAM,64 bit Windows 11 Operating System,128 GB SSD,14.0,4.2,884.0,151.0,4,3,4,128
327,acer Nitro 5 Core i5 11th Gen,65999.0,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.6,13.0,1.0,1,2,8,512
329,MSI GP66 Leopard Core i7 11th Gen,129990.0,Intel Core i7 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,1000 GB SSD,15.6,4.6,113.0,27.0,1,2,16,1000
330,Lenovo Celeron Dual Core,19990.0,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,DOS Operating System,256 GB HDD|256 GB SSD,15.6,3.7,288.0,26.0,4,3,4,256
331,HP Victus Intel Core i5 12th Gen,67990.0,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.3,496.0,41.0,1,2,8,512
332,ASUS TUF Gaming A17 Ryzen 5 Hexa Core AMD R5,64590.0,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,17.3,4.5,533.0,93.0,2,2,8,512
333,acer Nitro 5 Ryzen 7 Octa Core AMD R7,115300.0,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,64 bit Windows 10 Operating System,1000 GB HDD|256 GB SSD,15.6,4.4,497.0,69.0,2,3,16,1000
334,acer Aspire 7 Core i5 12th Gen,61990.0,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.3,3065.0,354.0,1,2,16,512
335,acer Aspire 3 Pentium Silver,26490.0,Intel Pentium Silver Processor,4 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,14.0,4.2,19.0,2.0,4,3,4,256
336,MSI Pulse GL66 Core i7 11th Gen,114990.0,Intel Core i7 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,1000 GB SSD,15.6,4.5,153.0,25.0,1,2,16,1000
337,ASUS TUF Gaming F17 (2022) Core i7 12th Gen,114990.0,Intel Core i7 Processor (12th Gen),16 GB DDR5 RAM,64 bit Windows 11 Operating System,1000 GB SSD,17.3,3.9,12.0,0.0,1,2,16,1000
338,DELL Ryzen 5 Hexa Core 5625U,59990.0,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,16.0,4.7,7.0,2.0,2,2,8,512
339,Lenovo Intel Core i3 11th Gen,38500.0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.3,453.0,38.0,1,2,8,512
343,Lenovo Intel Core i5 11th Gen,52890.0,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,15.6,4.5,14.0,1.0,1,2,16,512
344,ASUS Vivobook Ultra 14 (2022) Core i3 11th Gen,40990.0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,14.0,4.3,389.0,44.0,1,2,8,512
345,APPLE 2020 Macbook Air M1,109990.0,Apple M1 Processor,8 GB DDR4 RAM,Mac OS Operating System,512 GB SSD,13.3,4.6,1149.0,126.0,3,3,8,512
347,Lenovo IdeaPad 3 Core i3 11th Gen,38699.0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.3,4658.0,449.0,1,2,8,512
348,ASUS TUF Gaming A17 Ryzen 5 Hexa Core AMD R5,64590.0,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,17.3,4.5,533.0,93.0,2,2,8,512
349,acer Nitro 5 Ryzen 7 Octa Core AMD R7,115300.0,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,64 bit Windows 10 Operating System,1000 GB HDD|256 GB SSD,15.6,4.4,497.0,69.0,2,3,16,1000
350,acer Travelmate Core i3 11th Gen,46040.0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1000 GB HDD|256 GB SSD,14.0,4.1,68.0,6.0,1,2,8,1000
351,Lenovo IdeaPad 3 Core i5 11th Gen,52990.0,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.2,280.0,21.0,1,2,8,512
352,ASUS Ryzen 5 Dual Core 5th Gen,55990.0,AMD Ryzen 5 Dual Core Processor (5th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,15.6,4.6,10.0,1.0,2,3,8,512
353,HP Celeron Dual Core,24999.0,Intel Celeron Dual Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,14.0,3.7,65.0,7.0,4,3,8,256
354,ASUS TUF Gaming A17 Ryzen 7 Octa Core 4800H,76990.0,AMD Ryzen 7 Octa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,1000 GB SSD,17.3,4.5,17.0,4.0,2,3,8,1000
355,Lenovo IdeaPad 3 Core i5 12th Gen,56049.0,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.2,247.0,21.0,1,2,8,512
359,Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,47039.0,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.3,1603.0,184.0,2,2,8,512
360,HP Ryzen 3 Quad Core 5300U,40390.0,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,14.0,4.3,2025.0,257.0,2,3,8,512
361,Infinix INBook X1 Neo Series Celeron Quad Core,20990.0,Intel Celeron Quad Core Processor,4 GB LPDDR4X RAM,64 bit Windows 11 Operating System,128 GB SSD,14.0,4.2,884.0,151.0,4,3,4,128
362,HP Pavilion Ryzen 5 Hexa Core AMD R5,61990.0,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.5,99.0,13.0,2,2,8,512
363,Lenovo Intel Core i5 11th Gen,62990.0,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,15.6,4.5,14.0,1.0,1,2,16,512
364,Lenovo Intel Core i5 12th Gen,68400.0,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.0,5.0,1.0,1,2,16,512
367,Lenovo V15 G2 Core i3 11th Gen,37500.0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,1000 GB HDD|256 GB SSD,15.6,4.4,53.0,3.0,1,2,8,1000
368,DELL Ryzen 3 Dual Core 3250U,39490.0,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.0,29.0,2.0,2,3,8,512
370,APPLE 2021 Macbook Pro M1 Pro,241990.0,Apple M1 Pro Processor,16 GB Unified Memory RAM,Mac OS Operating System,1000 GB SSD,16.2,4.8,119.0,14.0,3,1,16,1000
375,HP Envy x360 Creator OLED Intel Evo Core i7 12th Gen,114990.0,Intel Core i7 Processor (12th Gen),16 GB LPDDR4X RAM,Windows 11 Operating System,1000 GB SSD,13.3,3.8,6.0,1.0,1,2,16,1000
378,Infinix ZERO BOOK Series Laptop Intel Core i5 12th Gen,51532.0,Intel Core i5 Processor (12th Gen),16 GB LPDDR5 RAM,Windows 11 Operating System,512 GB SSD,15.6,4.0,32.0,14.0,1,2,16,512
379,DELL Inspiron Ryzen 5 Hexa Core 5625U,52490.0,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.1,23.0,4.0,2,2,8,512
382,ASUS TUF Dash F15 Core i5 12th Gen,77990.0,Intel Core i5 Processor (12th Gen),16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,15.6,4.5,97.0,10.0,1,2,16,512
383,ASUS ROG Zephyrus M16 Core i7 11th Gen,139990.0,Intel Core i7 Processor (11th Gen),16 GB DDR4 RAM,Windows 10 Operating System,1000 GB SSD,16.0,4.3,8.0,0.0,1,2,16,1000
384,MSI Core i5 11th Gen,59990.0,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,15.6,4.4,263.0,22.0,1,2,8,512
386,Lenovo Yoga Slim 7 Pro Intel Core i5 11th Gen,70900.0,Intel Core i5 Processor (11th Gen),16 GB LPDDR4X RAM,64 bit Windows 11 Operating System,512 GB SSD,14.0,4.7,3.0,0.0,1,2,16,512
387,Lenovo Intel Core i5 11th Gen,62990.0,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,15.6,4.5,14.0,1.0,1,2,16,512
388,HP 15s Core i3 11th Gen,35699.0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,15.6,4.0,5.0,0.0,1,2,8,256
389,ASUS Vivobook S14 OLED (2022) Intel EVO Core i7 12th Gen,84990.0,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,14.0,3.9,45.0,9.0,1,2,16,512
391,Lenovo V15 G2 Core i3 11th Gen,37500.0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,1000 GB HDD|256 GB SSD,15.6,4.4,53.0,3.0,1,2,8,1000
392,DELL Inspiron 3000 Core i3 11th Gen,43500.0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,3.9,93.0,10.0,1,2,8,512
396,ASUS Zenbook 13 Intel EVO Core i5 11th Gen,60990.0,Intel Core i5 Processor (11th Gen),8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,512 GB SSD,13.3,4.4,72.0,9.0,1,2,8,512
398,Lenovo Core i3 11th Gen,39990.0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.1,48.0,2.0,1,2,8,512
399,acer Predator Helios 300 Core i9 11th Gen,139999.0,Intel Core i9 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,1000 GB SSD,15.6,5.0,7.0,1.0,1,2,16,1000
